category,avg_price_inr
Amritsari Kulchas With Dal Makhani,412.89
Charcoal Grilled,411.5
Chicken Main Course,409.85
"10"" LARGE PIZZAS | VEG",409.69
Waffle Wonders,409.5
Shaptak (Slice Chilli Meat Fried),409.33
Wood Fired Neapolitan Pizza,409.0
North Indian Spl Curries,408.33
Double Down Burger,408.26
Veg/ Paneer/ Mushroom/ Babycorn/ Kaju Sabzi's,407.62
Chicken Burgers,407.5
Veg Specials,407.43
Indian Starters Large,406.25
Main course enchiladas,406.25
750 ml Ice creams,405.81
750 Ml Ice Creams,405.31
Freshly Scooped Tubs,405.01
Non Veg Tandoori Appetizers,405.0
Broast,405.0
Karnataka Donne Biryani,405.0
Indian (Starter),405.0
Curries And Dal,405.0
Hot And Crisy Chicken,405.0
Kashmiri Wazwan,404.67
MAIN COURSE CHICKEN,404.25
Goan Curries,404.0
Pizza - 7Â Inches,402.5
Punjabi paneer khajana,402.0
Fried Rice | Noodles | Chopsuey,401.75
Gifting And Sharing,401.68
Super Saver Packs,401.38
Hyderabadi Biryani,401.29
Regional Starter (veg),401.0
Indian Appetizers (chicken),400.2
Cakes (350 Rs),400.0
Japanese Ramen,400.0
Schezwan Dishes,400.0
Holi Special Namkeens,400.0
Paneer Special Pizza,400.0
Chinese Special Starters,400.0
Pork Items,400.0
Sea Food Apprtizer,400.0
Greek And Continental Salads,400.0
Kashmiri chicken dishes family pack,400.0
Bbq Skewers,400.0
All Day Lunch Special Meal Box (save Rs 115),399.05
Tandoori Special,399.0
Mini Cakes,399.0
All Day Lunch Special Meal Box,399.0
High Protein Plates,399.0
Bangaliana rainy day special,399.0
Roll Combos,399.0
Bowl & Starter Combos [FREE Coke & Choco Lava w...,399.0
Starter/Kebabs,399.0
ALL DAY LUNCH SPECIAL MEAL BOX (SAVE RS 115),398.55
Hot & Crispy Chicken & Wings,398.35
Mini Thalis,398.0
Special Thali,397.62
Paneer Curry,396.78
Chicken Mandi,396.29
Box of Joy - Buy 4 Get 2 Free,396.0
Indian (Non Veg) Cuisin,395.0
Signature Wings,395.0
Kunafa Creations,395.0
Indian Curries Large,395.0
New Arrival,395.0
Chinese Sauce,394.88
Veg Khajana Special,393.46
MAIN Course(100% SHUDH DESI Ghee),393.0
Maharaja Veg Thali,393.0
Kebabs Platter and Starters,392.64
Oriental Rice & Noodle,392.5
Egg Biryani,392.0
Rabri Falooda,392.0
Tandoori & Chinese Starters,391.67
The Other Side (appetizers),391.5
Gudbud Sundae Jars (Serves2),391.0
Pasta - Penne | Spaghetti,390.76
Chinese Appetizers (chicken),390.53
Mutton Dry & Gravy,390.0
Make you own combo,390.0
Tandoori Items,390.0
Raan Thai,390.0
Chicken thali,390.0
Noodles (Home Made),389.83
MAIN COURSE FISH,389.12
Bestseller Combos,389.0
Combos With Drink,389.0
Arabian Foods,389.0
Chinese Main Course (non-veg),388.6
Indian Main Course (paneer),388.6
Healthy Bowls,388.57
Super Bowls,388.0
Mango Specials,387.67
Starters & Afgani,387.5
North Indian Special Side Dishes,387.4
Kebabs & Barbeque,387.29
Prawns Main Course,386.67
Entre In Panners,386.4
LATE NIGHT SPECIALS (STARTING AT 199),385.83
BFF Meals,385.0
Signature Sweets,385.0
Lebanese,384.71
Make your Own Pizza,384.0
Tandoori Specials,384.0
Curated Meal Combos,384.0
Chicken Items,383.33
Royal Curry & Thali,381.86
Tandoori Veg,381.67
Turkish Cookies,381.36
Kimbab  and Sushi,381.33
"Coffee Powders, Cookies N More",381.0
Tandoor Kitchen,380.6
Crostini,380.0
Smoke Your Meat,380.0
Grilled Beef Mandi,380.0
Chicken Mains,380.0
Rice Bowls Large,380.0
Shuruat Yahan Se,379.0
Everyday Value Meals,379.0
Tofu,379.0
Late Night Special,379.0
Thali/ Meal Boxes,379.0
Handi Special,379.0
Non Veg Special,378.75
PASTA,377.5
Dryfruit Sweets,377.5
Kadais,377.5
Sea Food Starters,376.62
Haleem Specials,376.43
The Killing Snacks,376.33
Thali Combo,376.0
Shahi Biryani (serves 1),375.56
Poul Try,375.0
Kofta Sabzi's,375.0
Story-house-fries,375.0
Chinese Veg Starter,375.0
Speciality Pizza,375.0
Mexican rice,375.0
Signature Biryani,375.0
Mutton items,375.0
Tikkas,375.0
Lotus Stem Starter,375.0
Tubs (500 ml),374.33
Viral Dubai Chocolate Special,374.28
Toasties,373.75
High Protein XL Bowls,373.64
Tandoori Snacks,373.32
Chef's Specials,373.2
Treasure Of Basmati,373.0
Khushbudar saag punjabi veg khajana,372.96
Indian Thali,372.5
"Pizza, Pasta And Continental Delights",372.0
Veg Biryani,371.71
Epic Combos | Sandwiches @105 | Save upto 300,371.0
High Protein Rice Bowls,370.36
Pan Asian Feast,370.0
1 + 1 BOGO Biryani at 179 Each,369.67
Andhra Biryani,369.0
Roll & Starter Combos [FREE Coke & Choco Lava w...,369.0
Newly Launched Salad,369.0
Rice Specials,369.0
Oh-so-Cheesy (New Launch),369.0
Indian Curries Veg,368.82
Twin Win (Save Upto Rs 70),368.0
Hot Chocolate,367.4
Thick Pizza,367.07
Tandoori,366.4
Lasagne,366.4
Staples,366.38
Burrger & Sandwiches,365.71
Biryani Sampler,365.67
CHOWMEIN - CHOPSUEY,365.2
Pepperoni Pizza - Chef's Special,365.09
Balanced Bowl,365.0
Cream Cruz,365.0
Hot Chocolates,365.0
Thick Shakes,365.0
Chief's Special Gravies,365.0
Sharing + Saving Combo,364.33
Main Course Combos,364.0
Kadai Special,364.0
Shiv sager ki khasiyat,362.92
Chinese Starters Large,362.75
Big Fat Bakers,362.5
Lamen Fried (Flat Noodles Dry),362.33
Daal - Humarey Andaaz Mein,361.67
Al Faham,361.58
Dum Mast Biryani,360.33
Maha Matka kulfi,360.17
Maha Matka Kulfi,360.17
Vallue Combo,360.0
Indian Prawn,360.0
SUMMER COMBOS,360.0
Trelly Specials,360.0
Zerpian,360.0
Sumthing Soupy,360.0
Non Veg Main Course,359.65
Biryani Rice Noodles,359.55
Executive Lunchbox,359.5
BONELESS CHICKEN POPCORN,359.18
Roll Combos.,359.0
Chinese (non-veg),358.8
Protein Minis,358.39
1 + 1 BOGO @ 179 each [CouponsÂ Applicable],358.0
Family Packs,357.46
Guiltfree By Eatfit!,356.89
Non Veg Pizza,356.54
Thukpa (Soup With Noodles),356.27
Mutton Biryani,356.2
Hot Dog,355.71
Chinise Snacks,355.67
High Protein Burgers ,355.11
Newly Launched Burgers,355.0
Kom Momos Platter,355.0
Dal & Pulses,355.0
Pizza (Indian),355.0
Chinese Prawn,355.0
Cafe Aurora Pizza,355.0
Burrito Bowl,355.0
Chinese Sauces,355.0
Veg thali,355.0
Wazwaan,354.67
Premium Cakes & Pastries,354.37
Signatures,354.15
Continental Starters,353.75
Kings Collection ( Premium Burgers ),353.54
Main course,353.33
Gourmet Non-veg Pizza,353.17
Cheese Volcano,353.16
Non Veg Main Course ,353.07
Bento Cakes,353.05
Premium Chaat By Karigari,353.0
Burgers & Sandwiches,352.73
Special Combos,352.61
Mokthuk (Soup With Momos),352.33
Sushi,352.15
Milkshakes and Smoothies,352.0
Soups and Smoothie Bowls,352.0
Non-Veg Mughal Biryani,351.0
Non Veg Appetizers,351.0
Cheese Burst - 3 New Flavours,350.21
Waffles And Crepes (bakersestate X Amoruccio),350.0
Breakfast Chia Pudding,350.0
Pancakes  And Waffles,350.0
Shawarma Thali,350.0
Late Night Binge Combos,350.0
Rice /Noodles chopsuey,350.0
MAIN COURSE,350.0
Cafe Aurora Combo Special,350.0
Jain Main Course,350.0
Indian Selections,350.0
Fried Chicken & Wings,349.84
"Combo""s",349.0
Match Day Combos,349.0
Duets By Steaming Mugs (combos),349.0
Shabhalay,349.0
Value Meal Combos,349.0
2 Bowls @ 99 each,349.0
Kids Special - Pizza Party,349.0
Independence day offer,349.0
"Half & Half Pizzas [Big 10""]",349.0
Kabab.[O],349.0
Kaju And Paneer,348.0
Punjabi Thali,347.5
Modak,347.5
House Special,347.0
Claypot Spl (startes),347.0
Korean Bowls,346.89
Chinese Kitchen,346.78
Signature Bowls,346.61
Monsoon - Specials,346.5
Other Items,346.0
Basudi,345.0
Cafe aurora bibimbap,345.0
Masala Omelette,345.0
Rice Meal Bowl,344.83
Naga Mini Meals,344.67
Dal Preparation,344.67
Biryanis,344.56
Dry Vegetable,344.17
Namkeen products,344.0
Sabji In Kg,344.0
Today Specials,344.0
Special Kebab Biryani,344.0
Non Vegetarian Delights,343.79
All Day Snacks,343.65
Chinese cuisine,343.33
Fusion Dosas,343.33
Gravy,342.68
Rice Bowls (White Or Brown Rice),342.5
Chinese Staters,342.5
Superbowl,342.43
Combo Ala Carte,342.33
Chinese Appetizers (paneer),342.2
Soya Chaap Gravies (New),342.0
Box of 3,341.9
Chicken,341.78
Loaded Pizza,341.3
Pastas (High Protein),341.2
Bar-Be-Que Tandoori,340.75
Kimbap,340.56
Breads And Bruschetta,340.0
Finger Licking Bbqs,340.0
Appetizers Pork,340.0
Main Course Paneer,340.0
Freakshake (500 Ml),340.0
Indian Combo,340.0
Indian Pork,340.0
Momos +  Kathi Rolls (combo),340.0
Thali & Mini Meals,339.77
"Sandwiches, Burgers",339.0
Meal & Combo,339.0
Hyderabadi Biryani ( Single Portion),339.0
Non Coffee Based Hot Beverages,339.0
Peri Peri Strips,339.0
Tandoor Starters,338.58
Goan Thalis,338.0
Mexican Specials,338.0
Grilled Smoky Red Chicken,337.77
Fish Main Course,337.7
BIRIYANI SPECIAL,337.5
Swiggy Combos,337.5
500 ml Ice creams,337.5
Family Prepacks,337.47
Cakes & Pastry,337.17
Choole & Daals,337.14
Mexican Burrito Bowls,336.96
Gwalia Special Thali,336.5
Non Veg Items,335.25
Beef Mandi,335.0
Family  Sundaes,335.0
Makar Shankranti/Lohri Specials,335.0
Medley Smoothie Bowl,335.0
Appetizers Chicken,335.0
Super Saver Wrap Duos,334.19
COMBO MEAL,334.0
All Time Favourite,334.0
Slow Churn: Artisanal Fruit Ice Cream,333.05
Dnb Happy Combo,332.38
North Indian Side Dishes,332.2
500 Ml Ice Creams,331.79
Noodles & Rice,331.54
Thenthuk (Soup With Short Noodles),331.5
Chicken Dry & Gravy,331.12
Pull Apart Bagels & Toasties,331.0
Fusion Mac & Cheese Bowls,330.23
GRILLED SMOKY RED CHICKEN,330.02
Seafoods Dry & Gravy,330.0
Dahi / Paneer,330.0
Strarters,330.0
Pikwik Kathi Rolls,330.0
Tandoori Delights,330.0
Prawn Fried  Rice,330.0
Kuch Meetha Ho Jaye,330.0
Indian Chicken,330.0
Coolers & Iced Tea,330.0
"Non-Veg Tandoor, Indian & Chinese Starters",329.35
Fusion Dosa,329.29
Nizami Hyderabadi Dum Biryani,329.0
NATORR Premium Burgers,329.0
Mutton Special,329.0
Mughlai Kolkata Dum Biryani,329.0
Flavours Of India (New),329.0
Bbq & Grill,329.0
Chinese Thali,329.0
McCrispy Range,328.8
Flavorful Rolls,328.62
"Combos, Thali And Platters (1)",328.5
Biryani / Pulao,328.33
Mountain Supreme,328.0
Biryani Variety,327.7
Breakfast All Day,327.22
Main Course Non Veg,327.11
Meal Box,326.69
Main Course (Chinese),326.67
Kaju Sweets,326.62
Burger Combos ( 3 Pc Meals ),326.56
5Pcs Combos at 199,326.56
All Day Favourites,326.14
Starters Non Veg,326.11
House Of Tandoor,326.0
Alu/ Baingan/ Bhindi Sabzi's,326.0
"Biryanis, Curries and Roti",325.91
Continental,325.11
Vegeterian,325.0
Combo Meal 2 Persons,325.0
MILLETS SPECIAL,325.0
Baked by Nini's,325.0
Pasta (Durum Wheat),325.0
Pulav,325.0
Sandwiches & Rolls,325.0
Gravy Veg & Non Veg,325.0
Smoothie - Greek Yoghurt,325.0
All Day Bowls,325.0
Choice di dal,325.0
New Gluten Free Momo,325.0
In-house-biryani,325.0
WeFit Protein Bowls,325.0
Amritsari King Comboâ€™s,324.84
Rajasthani Specials,324.5
Baked,324.0
PUJO SPECIALS,324.0
