category,price_inr_mean,price_inr_median,price_inr_std,price_inr_min,price_inr_max,rating_mean,rating_median,rating_std,rating_min,rating_max,rating_count_mean,rating_count_median,rating_count_std,rating_count_min,rating_count_max
Chettinad Special Gravy,308.0,308.0,0.0,308.0,308.0,3.73,4.2,0.99,2.6,4.4,100.33,49.0,129.85,4,248
Chettinad Varities,116.67,120.0,21.37,75.0,135.0,4.55,4.6,0.2,4.2,4.7,152.33,114.5,137.36,12,379
Chhattisgarh Week Specials,112.5,105.0,19.13,100.0,160.0,4.0,4.05,0.6,2.5,4.7,154.17,112.0,157.1,2,411
Chhena Items,66.0,71.0,9.54,55.0,72.0,4.37,4.4,0.06,4.3,4.4,64.67,72.0,53.38,8,114
Chhena Sweets,110.0,100.0,38.3,80.0,160.0,4.5,4.5,0.18,4.3,4.7,86.5,86.0,24.37,64,110
Chicken,341.78,299.0,150.1,120.0,1050.0,4.09,4.3,0.68,2.0,5.0,70.28,16.0,144.25,2,964
Chicken (Gravy),264.0,285.0,81.35,160.0,350.0,4.12,4.3,0.43,3.5,4.6,15.8,17.0,13.48,2,36
Chicken And Beef Center,301.82,300.0,24.83,260.0,340.0,4.47,4.6,0.31,4.0,5.0,19.0,10.0,19.5,3,59
Chicken And Mutton Rolls,245.25,239.0,28.75,209.0,289.0,4.3,4.2,0.5,3.4,5.0,18.25,10.0,28.6,1,88
Chicken Apprtizer,321.43,300.0,26.73,300.0,350.0,4.26,4.3,0.32,3.6,4.6,13.29,12.0,10.14,3,30
Chicken Biryani,265.67,250.0,134.09,100.0,418.0,4.6,4.6,0.09,4.5,4.7,69.5,46.0,56.25,16,165
Chicken Boneless ,319.0,299.0,42.16,299.0,399.0,4.52,4.55,0.22,4.1,4.9,11.8,8.0,11.14,1,37
Chicken Bucket,202.14,230.0,78.24,99.0,279.0,4.37,4.4,0.43,3.8,5.0,17.14,5.0,22.91,3,61
Chicken Burgers,407.5,407.5,24.75,390.0,425.0,4.5,4.5,0.14,4.4,4.6,208.0,208.0,89.1,145,271
Chicken Burst,481.0,449.0,110.75,449.0,849.0,4.41,4.4,0.5,3.5,5.0,2.24,3.0,1.2,1,4
Chicken Chinese Main Course,530.0,530.0,0.0,530.0,530.0,4.05,4.05,0.21,3.9,4.2,18.5,18.5,12.02,10,27
Chicken Curry,285.0,285.0,,285.0,285.0,2.7,2.7,,2.7,2.7,4.0,4.0,,4,4
Chicken Delights,203.5,197.5,24.2,184.0,235.0,3.22,3.15,0.99,2.1,4.5,5.75,4.5,3.59,3,11
Chicken Deluxe Thali,450.0,450.0,,450.0,450.0,4.3,4.3,,4.3,4.3,6.0,6.0,,6,6
Chicken Dishes,215.33,220.0,97.08,116.0,310.0,4.53,4.5,0.25,4.3,4.8,15.67,14.0,3.79,13,20
Chicken Dry & Gravy,331.12,340.0,21.88,299.0,360.0,4.31,4.45,0.66,3.5,5.0,8.5,9.0,4.6,3,15
Chicken Feast,135.46,149.0,47.24,37.14,189.0,4.32,4.3,0.47,2.5,5.0,3.19,2.0,3.22,1,28
Chicken Fried Rice,267.5,280.0,32.02,220.0,290.0,4.62,4.55,0.26,4.4,5.0,116.25,84.0,140.22,3,294
Chicken Gravy,319.0,319.0,30.0,289.0,349.0,4.33,4.3,0.15,4.2,4.5,76.0,72.0,12.49,66,90
Chicken Indian Main Course,590.91,630.0,103.58,280.0,630.0,4.4,4.5,0.46,3.7,5.0,136.27,24.0,252.2,4,809
Chicken Item,167.47,179.0,29.36,100.0,200.0,4.19,4.2,0.35,3.5,4.8,70.47,36.0,66.53,4,221
Chicken Items,383.33,350.0,57.74,350.0,450.0,3.77,4.0,1.37,2.3,5.0,4.0,4.0,1.0,3,5
Chicken Items [halal],250.0,250.0,0.0,250.0,250.0,4.25,4.25,0.07,4.2,4.3,54.0,54.0,0.0,54,54
Chicken Main Course,409.85,280.0,242.79,150.0,998.0,4.22,4.3,0.46,2.4,5.0,150.56,85.0,166.79,2,630
Chicken Mains,380.0,380.0,0.0,380.0,380.0,3.8,3.8,0.42,3.5,4.1,25.5,25.5,27.58,6,45
Chicken Mandi,396.29,385.0,214.72,145.0,796.0,4.66,4.7,0.15,4.4,4.8,82.43,12.0,105.99,8,240
Chicken Momo,167.25,169.5,32.11,131.0,199.0,3.5,3.75,0.99,2.1,4.4,4.75,3.0,3.5,3,10
Chicken Momos,205.25,200.0,53.25,120.0,299.0,4.38,4.25,0.35,3.7,4.8,45.44,17.5,71.98,3,264
Chicken Noodles,250.0,235.0,45.22,200.0,330.0,4.33,4.3,0.42,3.5,5.0,102.6,12.5,219.42,3,710
Chicken Popcorn,150.0,150.0,,150.0,150.0,4.6,4.6,,4.6,4.6,94.0,94.0,,94,94
Chicken Pops,224.5,224.5,21.92,209.0,240.0,4.8,4.8,0.0,4.8,4.8,84.5,84.5,70.0,35,134
Chicken Roll,154.0,154.0,,154.0,154.0,3.4,3.4,,3.4,3.4,18.0,18.0,,18,18
"Chicken Rolls [Big 9""]",217.1,199.0,34.59,199.0,299.0,4.15,4.2,0.6,2.9,5.0,13.62,12.0,10.43,1,37
Chicken Shawarma Rolls,192.0,192.0,9.9,185.0,199.0,4.35,4.35,0.07,4.3,4.4,3.5,3.5,0.71,3,4
Chicken Soup,168.33,165.0,19.41,150.0,200.0,4.77,4.85,0.27,4.3,5.0,19.83,14.5,16.82,6,49
Chicken Soups,164.44,170.0,26.98,120.0,200.0,4.04,4.3,0.77,2.4,5.0,18.33,6.0,41.22,1,128
Chicken Special,218.06,237.0,68.18,30.0,330.0,4.27,4.2,0.4,3.3,5.0,121.79,21.0,198.5,3,842
Chicken Spicy Special,230.0,230.0,0.0,230.0,230.0,4.7,4.7,0.14,4.6,4.8,6.5,6.5,2.12,5,8
Chicken Starters,275.48,299.0,56.26,175.0,419.0,4.31,4.45,0.59,2.3,5.0,10.2,4.0,13.81,1,68
Chicken Strips,180.0,180.0,,180.0,180.0,5.0,5.0,,5.0,5.0,4.0,4.0,,4,4
Chicken Wings,256.85,229.0,63.22,229.0,399.0,4.23,4.5,0.61,3.0,4.9,19.46,12.0,18.2,1,53
Chicken Wings and Tenders,139.0,139.0,0.0,139.0,139.0,3.85,3.85,0.21,3.7,4.0,1.5,1.5,0.71,1,2
Chicken and Roti Combo â€œNewly Launchedâ€,239.0,239.0,,239.0,239.0,5.0,5.0,,5.0,5.0,5.0,5.0,,5,5
Chicken biryani recipe,175.0,175.0,35.36,150.0,200.0,4.0,4.0,0.57,3.6,4.4,25.5,25.5,14.85,15,36
Chicken momo,107.5,107.5,10.61,100.0,115.0,3.6,3.6,0.42,3.3,3.9,15.5,15.5,14.85,5,26
Chicken thali,390.0,390.0,,390.0,390.0,5.0,5.0,,5.0,5.0,3.0,3.0,,3,3
Chief's Special Gravies,365.0,369.0,6.93,357.0,369.0,4.7,4.6,0.26,4.5,5.0,15.0,5.0,19.08,3,37
Chiilli Paratha & Idly,170.0,170.0,0.0,170.0,170.0,4.95,4.95,0.07,4.9,5.0,73.5,73.5,68.59,25,122
Chilli,256.67,260.0,5.77,250.0,260.0,3.37,3.4,0.35,3.0,3.7,5.33,6.0,2.08,3,7
Chilli & Gravies,226.33,240.0,42.19,179.0,260.0,3.97,3.7,0.74,3.4,4.8,17.0,17.0,4.0,13,21
Chilli Garlic Fry,280.0,280.0,28.28,260.0,300.0,3.8,3.8,0.0,3.8,3.8,12.0,12.0,4.24,9,15
Chilli Garlic Noodles,240.0,240.0,,240.0,240.0,4.3,4.3,,4.3,4.3,44.0,44.0,,44,44
Chilli Items,230.0,230.0,0.0,230.0,230.0,2.65,2.65,0.64,2.2,3.1,6.5,6.5,4.95,3,10
Chilli Momo,283.92,249.0,61.25,205.0,445.0,4.28,4.3,0.54,2.4,5.0,11.71,6.0,17.4,1,96
Chilli Noodles,220.0,220.0,,220.0,220.0,4.0,4.0,,4.0,4.0,13.0,13.0,,13,13
Chilli Special Veg,152.0,152.0,0.0,152.0,152.0,4.2,4.2,0.0,4.2,4.2,151.5,151.5,48.79,117,186
Chillies,192.86,200.0,24.98,150.0,220.0,3.97,4.3,0.62,2.8,4.5,67.14,42.0,70.47,7,217
Chilly,298.33,280.0,54.19,250.0,380.0,4.33,4.3,0.54,3.7,5.0,21.67,16.0,18.28,6,57
Chilly Garlic Noodles,95.0,95.0,7.07,90.0,100.0,3.95,3.95,0.07,3.9,4.0,9.0,9.0,1.41,8,10
Chilly Garlic Rice,100.0,90.0,36.06,70.0,140.0,4.13,4.6,0.9,3.1,4.7,6.0,6.0,3.0,3,9
Chimichurri Burgers,231.17,229.0,96.43,99.0,369.0,3.98,4.0,0.37,3.3,4.7,13.61,9.0,12.58,1,43
Chimichurri Burgers & Wraps,289.0,289.0,98.99,219.0,359.0,4.55,4.55,0.35,4.3,4.8,1.0,1.0,0.0,1,1
China Town,449.25,424.0,71.18,399.0,550.0,4.8,4.8,0.18,4.6,5.0,7.25,6.5,4.35,3,13
China Town Specials,210.0,210.0,45.28,160.0,260.0,4.18,4.1,0.8,3.3,5.0,6.2,3.0,6.06,1,16
Chineese,242.27,240.0,38.95,190.0,315.0,4.45,4.6,0.43,3.7,5.0,8.27,5.0,8.3,3,32
Chineese  Fried Rice,163.33,170.0,16.07,145.0,175.0,4.03,4.0,0.35,3.7,4.4,13.33,11.0,4.93,10,19
Chineese Combo Meal,300.0,300.0,,300.0,300.0,4.3,4.3,,4.3,4.3,3.0,3.0,,3,3
Chineese Combo Noodles,300.0,300.0,,300.0,300.0,4.8,4.8,,4.8,4.8,4.0,4.0,,4,4
Chinese,214.36,210.0,74.02,15.0,470.0,4.07,4.2,0.66,2.0,5.0,64.13,15.0,133.92,1,906
Chinese   Veg,215.0,215.0,7.07,210.0,220.0,4.35,4.35,0.35,4.1,4.6,4.0,4.0,0.0,4,4
Chinese ( Non - Veg),195.33,161.0,73.76,145.0,280.0,4.0,4.3,1.18,2.7,5.0,11.0,8.0,6.08,7,18
Chinese (Non Veg),227.55,220.0,49.81,155.0,346.0,4.26,4.55,0.87,2.1,5.0,40.8,17.5,62.78,3,279
Chinese (Veg),185.25,184.0,26.89,154.0,219.0,4.53,4.45,0.19,4.4,4.8,145.5,120.5,144.97,7,334
Chinese (non-veg),358.8,380.0,39.87,300.0,390.0,4.3,4.3,0.32,3.9,4.7,56.4,43.0,39.06,14,109
Chinese (veg),288.64,260.0,51.39,250.0,390.0,4.19,4.2,0.52,3.4,5.0,44.18,15.0,51.46,4,139
Chinese - Rice And Noodles,307.0,315.0,10.95,295.0,315.0,3.66,3.4,0.46,3.2,4.2,29.2,25.0,24.23,9,69
Chinese And More,176.15,169.0,41.32,139.0,290.0,4.15,4.2,0.37,3.6,4.7,152.92,56.0,203.38,8,588
Chinese Appetizers (chicken),390.53,388.6,4.74,388.6,400.2,4.17,4.45,0.71,3.0,4.8,35.83,29.0,25.2,7,69
Chinese Appetizers (fish & Prawns),489.13,527.8,66.97,411.8,527.8,4.63,4.6,0.35,4.3,5.0,4.33,5.0,1.15,3,5
Chinese Appetizers (paneer),342.2,342.2,,342.2,342.2,5.0,5.0,,5.0,5.0,7.0,7.0,,7,7
Chinese Appetizers (veg),284.2,272.6,21.7,261.0,307.4,4.36,4.4,0.56,3.7,5.0,10.4,8.0,8.32,3,24
Chinese BOWLJ,232.75,229.0,29.73,199.0,279.0,4.24,4.2,0.36,3.6,4.8,30.75,22.5,27.9,3,85
Chinese Chicken Main,320.0,320.0,,320.0,320.0,4.8,4.8,,4.8,4.8,3.0,3.0,,3,3
Chinese Combo,242.21,242.0,68.04,172.5,345.0,3.87,3.9,0.56,2.9,4.9,30.95,19.0,34.08,3,138
Chinese Combo Non Veg,302.5,302.5,64.87,225.0,380.0,4.05,4.2,0.78,3.0,4.9,6.5,4.5,3.73,4,13
Chinese Combo Rice,320.0,320.0,0.0,320.0,320.0,4.75,4.75,0.21,4.6,4.9,11.5,11.5,10.61,4,19
Chinese Combo Veg,195.0,195.0,,195.0,195.0,2.8,2.8,,2.8,2.8,3.0,3.0,,3,3
Chinese Combos,260.0,279.0,36.3,199.0,319.0,4.15,4.4,0.46,2.8,4.6,88.47,84.0,69.18,3,265
Chinese Cuisine,137.5,125.0,28.72,120.0,180.0,3.88,4.25,0.95,2.5,4.5,4.0,3.0,2.0,3,7
Chinese Delight,283.85,294.0,44.1,169.0,329.0,3.82,3.8,0.6,2.7,4.9,74.4,15.0,145.79,3,538
Chinese Fried Rice,253.55,249.0,9.34,239.0,269.0,4.0,4.1,0.77,2.6,5.0,133.55,39.0,256.78,13,890
Chinese Gravy,243.94,220.0,62.18,160.0,365.0,4.09,4.2,0.48,3.1,4.8,18.11,15.0,15.84,3,70
Chinese Items,219.14,175.0,114.98,90.0,465.0,4.2,4.3,0.37,3.5,4.9,42.71,12.0,116.58,3,540
Chinese Kitchen,346.78,360.25,49.43,253.0,401.5,4.42,4.6,0.55,3.3,5.0,13.35,7.0,14.66,1,49
Chinese Magic,207.5,195.0,52.52,160.0,280.0,3.22,3.35,0.55,2.5,3.7,9.5,5.5,9.04,4,23
Chinese Magic Noodles,194.5,194.5,6.36,190.0,199.0,3.6,3.6,1.56,2.5,4.7,5.5,5.5,2.12,4,7
Chinese Magic Rice,225.0,225.0,21.21,210.0,240.0,2.75,2.75,0.21,2.6,2.9,3.0,3.0,0.0,3,3
Chinese Main Course,278.32,275.0,85.36,155.0,445.0,4.31,4.4,0.5,2.2,5.0,86.25,22.0,158.91,1,953
Chinese Main Course (non-veg),388.6,388.6,,388.6,388.6,4.5,4.5,,4.5,4.5,9.0,9.0,,9,9
Chinese Menu,226.5,229.0,12.82,199.0,239.0,4.14,4.3,0.68,3.3,4.8,34.75,15.0,53.85,5,167
Chinese Non  Veg,299.0,299.0,,299.0,299.0,4.4,4.4,,4.4,4.4,5.0,5.0,,5,5
Chinese Non Veg,163.46,165.0,64.27,70.0,290.0,4.18,4.1,0.56,3.1,4.9,12.62,11.0,7.52,2,25
Chinese Non Veg Starters,268.3,263.5,32.56,238.0,308.0,4.08,4.1,0.6,3.3,5.0,8.5,8.5,6.19,1,18
Chinese Noodles,255.0,255.0,23.45,220.0,280.0,4.0,4.1,0.41,3.2,4.4,199.5,76.5,230.04,20,529
"Chinese Noodles, Rice And Chopsuey",441.67,440.0,47.92,390.0,510.0,4.48,4.4,0.23,4.3,4.9,21.33,11.5,24.99,4,70
Chinese Prawn,355.0,350.0,17.32,340.0,380.0,4.72,4.75,0.25,4.4,5.0,18.25,22.0,8.18,6,23
Chinese Rice,317.79,359.0,100.91,160.0,440.0,4.2,4.4,0.79,2.3,5.0,52.83,9.0,100.88,3,459
Chinese Rice & Noodles,283.29,260.0,65.2,169.0,384.0,4.53,4.6,0.37,3.5,5.0,181.21,107.0,224.38,3,945
Chinese Sauce,394.88,370.0,55.02,340.0,480.0,4.14,4.05,0.65,3.3,5.0,4.38,4.0,1.69,3,8
Chinese Sauces,355.0,340.0,48.99,310.0,425.0,4.34,4.5,0.71,2.9,4.9,3.43,3.0,2.64,1,8
Chinese Soups,235.0,225.0,15.35,225.0,265.0,4.18,4.55,0.91,2.7,5.0,26.62,7.0,45.87,3,137
Chinese Special,200.0,170.0,50.5,160.0,260.0,4.0,3.8,0.8,3.0,5.0,29.8,18.0,23.31,12,68
Chinese Special Starters,400.0,402.5,12.25,385.0,410.0,4.0,4.3,0.82,2.8,4.6,6.5,6.0,1.91,5,9
Chinese Specials ,279.0,259.0,61.64,229.0,369.0,4.35,4.35,0.13,4.2,4.5,584.25,567.0,394.72,224,979
Chinese Starter,286.85,285.0,30.47,190.0,375.0,4.11,4.25,0.66,2.1,5.0,69.89,14.5,127.05,1,565
Chinese Starter (veg),321.67,375.0,110.15,195.0,395.0,4.47,4.3,0.29,4.3,4.8,46.0,58.0,28.93,13,67
Chinese Starters,298.47,289.0,90.28,99.0,556.0,4.18,4.3,0.66,2.2,5.0,52.26,15.0,92.56,1,479
Chinese Starters ,260.0,260.0,0.0,260.0,260.0,4.25,4.3,0.25,3.9,4.5,178.25,103.0,186.83,51,456
Chinese Starters (non-veg),515.0,495.0,52.92,475.0,575.0,3.8,4.0,0.53,3.2,4.2,68.67,61.0,62.85,10,135
Chinese Starters Large,362.75,385.0,69.93,180.0,425.0,4.52,4.55,0.48,3.0,5.0,11.1,6.5,9.88,1,29
Chinese Starters Small,310.0,310.0,26.39,255.0,340.0,4.45,4.5,0.34,3.8,5.0,23.2,21.0,20.76,1,72
Chinese Staters,342.5,345.0,23.5,305.0,380.0,4.31,4.45,0.61,2.9,5.0,23.33,6.0,36.8,1,128
Chinese Thali,329.0,329.0,0.0,329.0,329.0,4.02,4.15,0.6,2.2,4.9,17.19,10.5,18.85,1,99
Chinese Traditional Chicken,298.8,298.8,0.0,298.8,298.8,3.87,4.3,1.21,2.5,4.8,27.33,3.0,42.15,3,76
Chinese Traditional Veg,238.0,238.0,0.0,238.0,238.0,4.9,4.9,0.14,4.8,5.0,5.5,5.5,3.54,3,8
Chinese Veg,145.41,140.0,40.86,80.0,209.0,4.16,4.2,0.64,2.7,5.0,7.88,5.0,5.91,3,25
Chinese Veg Starter,375.0,375.0,,375.0,375.0,4.5,4.5,,4.5,4.5,2.0,2.0,,2,2
Chinese Vegetarian Items,242.5,245.0,16.58,220.0,260.0,4.2,4.25,0.39,3.7,4.6,10.0,10.0,6.22,3,17
Chinese Wok (Veg),285.83,285.0,16.86,260.0,310.0,3.88,4.25,1.08,2.5,5.0,10.0,10.0,3.85,5,16
Chinese Wraps,204.88,209.0,5.07,199.0,209.0,4.19,4.2,0.46,3.2,4.8,3.18,3.0,2.19,1,8
Chinese cuisine,343.33,325.0,83.11,280.0,500.0,4.52,4.75,0.6,3.5,5.0,27.0,15.5,31.52,3,84
"Chinese, Thai & Orientel",426.0,430.0,44.95,320.0,480.0,4.44,4.6,0.49,3.6,5.0,49.81,22.0,70.47,6,281
Chiness Chow& Conti,184.2,161.0,60.45,138.0,288.0,4.06,4.0,0.69,3.1,4.9,16.6,12.0,15.13,5,42
Chinise,144.0,144.0,49.5,109.0,179.0,3.05,3.05,0.35,2.8,3.3,4.0,4.0,1.41,3,5
Chinise Snacks,355.67,350.0,69.69,265.0,435.0,4.37,4.45,0.49,3.6,4.9,51.17,37.0,52.65,4,142
Chips & Stix,125.0,125.0,7.07,120.0,130.0,4.35,4.35,0.49,4.0,4.7,6.0,6.0,5.66,2,10
Chizza,200.0,200.0,0.0,200.0,200.0,4.1,4.1,0.71,3.6,4.6,13.0,13.0,12.73,4,22
Choco Cravings,214.29,214.29,,214.29,214.29,4.7,4.7,,4.7,4.7,1.0,1.0,,1,1
Choco Lava Cake & Brownies,139.0,139.0,14.14,129.0,149.0,3.6,3.6,0.57,3.2,4.0,46.5,46.5,47.38,13,80
Choco Sandwich,130.0,130.0,10.0,120.0,140.0,4.7,4.6,0.26,4.5,5.0,3.0,3.0,1.0,2,4
Chocolate,258.14,182.0,254.97,12.0,720.0,4.51,4.5,0.33,4.0,5.0,11.57,11.0,10.34,1,28
Chocolate & Coffee,190.0,190.0,,190.0,190.0,5.0,5.0,,5.0,5.0,3.0,3.0,,3,3
Chocolate Cake Slices,267.67,275.0,12.7,253.0,275.0,4.47,4.6,0.32,4.1,4.7,19.33,20.0,6.03,13,25
Chocolate Candies,37.97,40.0,3.52,33.9,40.0,4.83,4.8,0.06,4.8,4.9,15.67,2.0,23.67,2,43
Chocolate Coated Bars,105.93,105.93,0.0,105.93,105.93,4.5,4.5,0.12,4.4,4.6,2.0,2.0,1.15,1,3
Chocolate Ice Creams,111.53,110.0,37.78,75.0,504.24,4.62,4.8,0.49,1.6,5.0,26.91,14.5,30.89,1,136
Chocolate Shakes,180.0,180.0,,180.0,180.0,4.5,4.5,,4.5,4.5,2.0,2.0,,2,2
Chocolate Sundaes,196.0,203.5,18.53,163.0,209.0,4.64,4.6,0.13,4.5,4.9,199.79,201.0,100.36,74,365
Chocolates,43.07,31.36,34.54,27.12,135.59,4.42,4.3,0.27,4.1,5.0,1.68,1.0,1.04,1,4
Choice Of Omelette,134.0,134.0,35.36,109.0,159.0,3.45,3.45,0.92,2.8,4.1,6.0,6.0,1.41,5,7
Choice Of Raita,99.0,99.0,,99.0,99.0,4.7,4.7,,4.7,4.7,31.0,31.0,,31,31
Choice di dal,325.0,325.0,8.16,315.0,335.0,3.92,4.3,0.96,2.5,4.6,18.75,4.0,31.54,1,66
Choice of Rice,198.8,190.0,30.49,170.0,250.0,4.72,4.8,0.22,4.4,4.9,27.8,21.0,14.82,19,54
Choices Of Salad,111.67,110.0,22.55,90.0,135.0,4.07,5.0,1.62,2.2,5.0,7.33,9.0,3.79,3,10
Chole Bhature,120.0,120.0,,120.0,120.0,4.0,4.0,,4.0,4.0,3.0,3.0,,3,3
Chole Bhature Comboâ€™s,228.67,252.0,41.64,180.6,253.41,4.43,4.4,0.55,3.9,5.0,14.33,8.0,15.5,3,32
Choley/Rajma,240.0,240.0,0.0,240.0,240.0,4.75,4.75,0.21,4.6,4.9,56.0,56.0,7.07,51,61
Cholley Bhature And Pav Bhajji,233.5,285.0,97.73,50.0,285.0,4.55,4.6,0.24,4.2,4.9,170.4,51.0,241.67,5,674
Choole & Daals,337.14,335.0,12.54,325.0,360.0,4.24,4.3,0.57,3.3,4.9,52.57,19.0,84.84,2,242
Chop Suey,250.0,250.0,,250.0,250.0,3.8,3.8,,3.8,3.8,20.0,20.0,,20,20
Chops,120.0,120.0,0.0,120.0,120.0,4.7,4.7,0.28,4.5,4.9,10.0,10.0,8.49,4,16
Chopsuey,308.89,360.0,104.67,160.0,445.0,4.2,4.5,0.72,2.9,4.8,10.0,5.0,11.14,3,36
Choupsuey,439.0,439.0,14.14,429.0,449.0,4.5,4.5,0.14,4.4,4.6,94.0,94.0,18.38,81,107
Chow,170.11,170.0,47.34,50.0,260.0,4.21,4.4,0.65,2.3,5.0,60.55,20.0,136.32,3,802
Chow Chow / Noodles,200.0,200.0,43.97,150.0,250.0,4.3,4.3,0.08,4.2,4.4,87.25,43.5,96.04,31,231
Chow mein,114.0,120.0,43.36,60.0,160.0,3.98,4.2,0.72,2.8,4.7,71.0,72.0,63.44,8,153
Chowmein,158.1,148.5,51.68,79.0,299.0,4.04,4.2,0.62,2.0,5.0,136.18,33.5,221.56,3,996
Chowmein And Rice Items,160.0,160.0,,160.0,160.0,4.5,4.5,,4.5,4.5,20.0,20.0,,20,20
Chowmein Special,135.83,130.0,48.21,90.0,225.0,4.48,4.55,0.48,3.6,5.0,130.17,71.0,151.26,3,331
Chowmeins,238.33,260.0,49.22,182.0,273.0,4.03,4.3,0.55,3.4,4.4,5.33,5.0,1.53,4,7
Chowmien,137.5,150.0,42.72,80.0,170.0,4.22,4.3,0.52,3.6,4.7,6.0,6.0,0.82,5,7
Christmas & NYE Specials,70.0,70.0,,70.0,70.0,4.1,4.1,,4.1,4.1,13.0,13.0,,13,13
Christmas Gifting,280.0,300.0,131.15,130.0,390.0,4.58,4.6,0.4,4.1,5.0,12.0,4.5,16.06,3,36
Christmas Special,136.67,135.0,2.89,135.0,140.0,4.1,4.3,0.44,3.6,4.4,89.33,84.0,50.21,42,142
Christmas Specials,69.1,69.1,,69.1,69.1,5.0,5.0,,5.0,5.0,3.0,3.0,,3,3
Chur chur naan & chole kulche combos(with raita),252.33,259.0,11.55,239.0,259.0,3.87,3.7,0.86,3.1,4.8,18.0,18.0,3.0,15,21
Chutney,26.0,26.0,8.49,20.0,32.0,4.25,4.25,0.64,3.8,4.7,8.5,8.5,6.36,4,13
Cinnamon Rolls - Bite Size,150.0,150.0,,150.0,150.0,3.9,3.9,,3.9,3.9,24.0,24.0,,24,24
Cinnamon Rolls - Mini,133.33,130.0,15.28,120.0,150.0,4.57,4.6,0.15,4.4,4.7,40.33,35.0,10.12,34,52
Cinnamon Rolls - On The Go,140.0,140.0,,140.0,140.0,4.5,4.5,,4.5,4.5,11.0,11.0,,11,11
Cinnamon Rolls - Regular,195.0,195.0,63.64,150.0,240.0,4.7,4.7,0.0,4.7,4.7,59.0,59.0,29.7,38,80
Classic,168.64,168.64,0.0,168.64,168.64,4.8,4.8,0.0,4.8,4.8,22.5,22.5,20.51,8,37
Classic & Nuts Ice Creams,111.79,110.0,33.22,75.0,347.46,4.56,4.7,0.53,1.9,5.0,25.99,16.0,34.57,1,211
Classic Biryani,430.5,399.0,66.09,379.0,569.0,4.39,4.45,0.27,4.0,4.7,6.25,4.0,6.09,1,19
Classic Bowls,287.58,309.0,77.42,199.0,389.0,4.29,4.4,0.52,2.4,5.0,62.62,29.5,83.07,1,379
Classic Cakes,490.0,490.0,0.0,490.0,490.0,3.83,4.3,0.9,2.8,4.4,21.67,24.0,17.62,3,38
Classic Desserts,234.0,240.0,19.49,210.0,260.0,4.86,4.9,0.11,4.7,5.0,132.0,118.0,133.14,4,314
Classic Fried Chicken,444.33,235.0,367.78,229.0,869.0,4.33,4.1,0.4,4.1,4.8,3.0,3.0,1.0,2,4
Classic Ice Cream Flavour,181.0,181.0,0.0,181.0,181.0,4.77,4.7,0.21,4.6,5.0,6.67,5.0,4.73,3,12
Classic Milkshake,250.0,250.0,,250.0,250.0,5.0,5.0,,5.0,5.0,4.0,4.0,,4,4
Classic Mithai Collection,418.67,425.0,214.57,201.0,630.0,4.43,4.6,0.38,4.0,4.7,3.67,5.0,2.31,1,5
Classic Momos,202.5,200.0,29.86,170.0,240.0,3.98,4.15,0.85,2.9,4.7,7.25,5.0,5.97,3,16
Classic Pastries,103.62,100.0,10.39,95.0,120.0,4.25,4.2,0.25,3.8,4.6,8.5,4.5,7.91,2,21
Classic Pizza,468.92,419.0,281.09,193.0,779.0,4.02,4.2,0.86,2.0,4.9,19.0,9.5,19.9,6,72
Classic Pizza Regular,129.0,129.0,0.0,129.0,129.0,3.87,3.9,0.05,3.8,3.9,306.71,164.0,351.94,60,819
Classic Semizza (Half Pizza) (Serves 1),214.0,214.0,7.07,209.0,219.0,3.6,3.6,0.42,3.3,3.9,1.0,1.0,0.0,1,1
Claypot Spl (startes),347.0,347.0,31.11,325.0,369.0,4.75,4.75,0.07,4.7,4.8,51.0,51.0,56.57,11,91
Coconut Special Biriyani,310.0,310.0,29.44,280.0,340.0,4.62,4.55,0.26,4.4,5.0,11.0,6.5,11.8,3,28
Coffee,235.72,252.5,94.84,45.0,420.0,4.45,4.65,0.6,2.7,5.0,15.12,7.0,19.41,1,82
Coffee & Beverages (Hot and Cold),178.77,187.0,53.25,66.66,281.0,4.39,4.5,0.57,1.7,5.0,21.18,5.0,41.25,1,332
Coffee & Shakes,74.0,74.0,21.21,59.0,89.0,4.25,4.25,0.49,3.9,4.6,10.5,10.5,9.19,4,17
Coffee And Milkshakes,140.0,140.0,0.0,140.0,140.0,3.07,3.2,0.61,2.4,3.6,3.0,3.0,0.0,3,3
Coffee And Tea,120.0,120.0,14.14,110.0,130.0,4.15,4.15,0.21,4.0,4.3,1.5,1.5,0.71,1,2
"Coffee Powders, Cookies N More",381.0,381.0,0.0,381.0,381.0,4.73,4.75,0.28,4.3,5.0,3.0,1.5,2.9,1,8
Coffee Starts @99,119.0,99.0,30.98,99.0,159.0,4.22,4.45,0.79,2.7,4.8,5.67,5.5,3.44,1,10
Coffee Sundaes,177.0,177.0,0.0,177.0,177.0,4.8,4.8,0.1,4.7,4.9,55.0,49.0,12.17,47,69
Coffee Time,65.0,65.0,35.36,40.0,90.0,3.65,3.65,0.64,3.2,4.1,6.0,6.0,2.83,4,8
"Coffee, Tea  & Milo (Hot & Cold)",294.0,290.0,5.48,290.0,300.0,4.5,4.6,0.24,4.2,4.8,32.6,30.0,24.9,6,60
Cold,140.0,140.0,,140.0,140.0,5.0,5.0,,5.0,5.0,4.0,4.0,,4,4
