category,price_inr_mean,price_inr_median,price_inr_std,price_inr_min,price_inr_max,rating_mean,rating_median,rating_std,rating_min,rating_max,rating_count_mean,rating_count_median,rating_count_std,rating_count_min,rating_count_max
Veg Gravies,222.45,179.0,64.6,139.0,369.0,3.83,3.75,0.53,2.6,5.0,7.52,4.0,8.37,1,32
Veg Gravy,202.0,202.0,46.67,169.0,235.0,3.85,3.85,0.92,3.2,4.5,3.0,3.0,0.0,3,3
Veg Homely - EVERYDAY THALI,239.93,249.0,26.53,199.0,269.0,4.36,4.4,0.4,2.9,5.0,18.4,9.0,25.7,1,118
Veg Homely - FEAST THALI,274.11,269.0,42.3,229.0,399.0,4.39,4.4,0.48,3.1,5.0,8.38,5.0,12.05,1,68
Veg Homely - LIGHT MEAL,192.33,199.0,29.86,149.0,229.0,4.28,4.5,0.65,1.8,5.0,7.79,6.0,7.08,1,30
Veg Indian,155.0,155.0,35.36,130.0,180.0,4.1,4.1,0.57,3.7,4.5,8.5,8.5,4.95,5,12
Veg Indian Curry,225.67,199.0,122.2,119.0,359.0,4.43,4.5,0.4,4.0,4.8,7.0,6.0,2.65,5,10
Veg Indian Dawat-E-Lazees,199.12,199.5,23.97,159.0,229.0,3.16,3.0,0.8,2.0,4.3,8.12,7.5,4.02,4,13
Veg Italian E Feast Pizza,187.0,187.0,0.0,187.0,187.0,4.8,4.8,0.0,4.8,4.8,9.5,9.5,0.71,9,10
Veg Item,93.0,49.5,97.52,29.0,280.0,4.43,4.6,0.63,3.4,5.0,6.83,6.0,4.31,3,12
Veg Items,48.0,48.0,,48.0,48.0,4.3,4.3,,4.3,4.3,4.0,4.0,,4,4
Veg Khajana Special,393.46,395.0,8.75,385.0,410.0,4.64,5.0,0.57,3.4,5.0,11.85,7.0,10.05,3,34
Veg Main Course,310.95,280.0,123.81,69.0,606.0,4.26,4.3,0.61,2.2,5.0,103.59,27.0,175.58,1,927
Veg Meals,214.8,220.0,32.83,170.0,259.0,4.08,4.0,0.7,3.0,4.8,7.0,8.0,2.83,4,10
Veg Momo,64.0,64.0,7.07,59.0,69.0,3.5,3.5,0.28,3.3,3.7,15.5,15.5,2.12,14,17
Veg Momos,155.67,149.0,20.82,139.0,179.0,4.93,4.9,0.06,4.9,5.0,7.0,6.0,1.73,6,9
Veg Mughal Biryani,294.38,299.0,62.8,239.0,439.0,4.42,4.6,0.63,2.7,5.0,10.85,4.0,11.41,1,32
Veg Noodles,199.18,215.0,71.9,99.0,295.0,4.06,4.3,0.86,2.0,4.9,61.36,45.0,68.12,3,204
Veg Paratha Bowls,212.64,199.0,35.13,199.0,299.0,4.43,4.3,0.28,4.1,5.0,1.82,1.0,1.26,1,6
Veg Pizza,282.41,319.0,73.8,169.0,728.0,4.06,4.1,0.58,2.0,5.0,63.94,17.0,112.46,1,876
Veg Pizzas,272.33,249.0,100.53,189.0,459.0,4.03,4.05,0.58,3.4,4.8,8.83,5.0,13.0,1,35
Veg Rice And Noodles,181.0,181.0,,181.0,181.0,4.2,4.2,,4.2,4.2,3.0,3.0,,3,3
Veg Rice Bowls [Masala Rice],250.91,249.0,37.4,199.0,299.0,4.61,4.6,0.38,3.2,5.0,9.28,5.0,11.53,1,53
Veg Rice Bowls [Steamed Rice],255.59,249.0,43.11,199.0,399.0,4.6,4.7,0.4,3.3,5.0,15.44,7.0,23.44,1,121
Veg Rolls,144.71,154.0,33.43,80.0,200.0,4.3,4.4,0.54,2.5,5.0,70.18,25.0,130.4,2,673
Veg Sandwich with French Fries,264.0,264.0,21.21,249.0,279.0,4.45,4.45,0.21,4.3,4.6,5.0,5.0,2.83,3,7
Veg Seasonal,259.0,259.0,,259.0,259.0,4.8,4.8,,4.8,4.8,8.0,8.0,,8,8
Veg Simply Pizza,163.0,163.0,0.0,163.0,163.0,4.8,4.8,0.0,4.8,4.8,5.5,5.5,4.95,2,9
Veg Snacks,149.62,150.5,43.99,99.0,229.0,3.82,3.9,0.85,2.0,4.9,5.88,4.5,3.68,2,12
Veg Soup,125.0,120.0,25.17,100.0,160.0,4.85,4.9,0.19,4.6,5.0,12.5,7.5,12.45,4,31
Veg Soups,162.14,165.0,6.99,150.0,170.0,4.64,4.8,0.36,4.0,5.0,6.57,3.0,7.81,1,21
Veg Speacial Pizzas,220.0,220.0,,220.0,220.0,4.3,4.3,,4.3,4.3,5.0,5.0,,5,5
